Date,Total Nodes(C),In Use,Offline,Available,Down,Running Jobs,Jobs in Queue
23-06-2025 23:30,422,383,1,39,0,121,19
24-06-2025 00:30,422,376,1,46,0,116,18
24-06-2025 01:30,422,373,1,49,0,115,17
24-06-2025 02:30,422,372,1,50,0,113,15
24-06-2025 03:30,422,347,1,75,0,112,13
24-06-2025 04:30,422,323,1,99,0,109,7
24-06-2025 05:30,422,319,1,103,0,104,7
24-06-2025 06:30,422,291,1,131,0,100,6
24-06-2025 07:30,422,284,1,138,0,98,6
24-06-2025 08:30,422,286,1,136,0,100,6
24-06-2025 09:30,422,318,1,104,0,107,6
24-06-2025 10:30,422,338,1,84,0,105,15
24-06-2025 11:30,422,400,1,22,0,128,15
24-06-2025 12:30,422,394,1,28,0,125,13
24-06-2025 13:30,422,400,1,22,0,131,15
24-06-2025 14:30,422,416,1,6,0,138,19
24-06-2025 15:30,422,413,1,9,0,140,23
24-06-2025 16:30,422,405,1,17,0,144,22
24-06-2025 17:30,422,412,1,10,0,139,24
24-06-2025 18:30,422,415,1,7,0,140,24
24-06-2025 19:30,422,416,1,6,0,139,28
24-06-2025 20:30,422,403,1,18,0,138,21
24-06-2025 21:30,422,395,0,27,0,136,26
24-06-2025 22:30,422,389,0,33,0,138,25
24-06-2025 23:30,422,365,0,57,0,142,25
25-06-2025 00:30,422,392,0,30,0,145,22
25-06-2025 01:30,422,384,0,38,0,141,19
25-06-2025 02:30,422,375,0,47,0,140,19
25-06-2025 03:30,422,368,0,54,0,139,17
25-06-2025 04:30,422,363,0,59,0,137,16
25-06-2025 05:30,422,353,0,69,0,136,14
25-06-2025 06:30,422,352,0,70,0,135,12
25-06-2025 07:30,422,331,0,91,0,133,10
25-06-2025 08:30,422,360,1,62,0,134,10
25-06-2025 09:30,422,394,1,28,0,138,12
25-06-2025 10:30,422,394,1,28,0,141,25
25-06-2025 11:30,422,357,1,65,0,142,19
25-06-2025 12:30,422,375,1,47,0,149,22
25-06-2025 13:30,422,358,1,64,0,142,20
25-06-2025 14:30,422,351,1,71,0,151,21
25-06-2025 15:30,422,417,1,5,0,156,26
25-06-2025 16:30,422,417,1,5,0,154,25
25-06-2025 17:30,422,399,1,23,0,151,18
25-06-2025 18:30,422,384,1,38,0,144,20
25-06-2025 19:30,422,420,1,2,0,154,19
25-06-2025 20:30,422,401,1,21,0,145,17
25-06-2025 21:30,422,418,1,4,0,141,14
25-06-2025 22:30,422,399,1,23,0,136,13
25-06-2025 23:30,422,407,1,15,0,138,13
26-06-2025 00:30,422,372,1,50,0,130,12
26-06-2025 01:30,422,359,1,63,0,123,12
26-06-2025 02:30,422,345,1,77,0,119,11
26-06-2025 03:30,422,345,1,77,0,117,10
26-06-2025 04:30,422,342,1,80,0,114,8
26-06-2025 05:30,422,333,1,89,0,110,7
26-06-2025 06:30,422,326,1,96,0,109,4
26-06-2025 07:30,422,321,1,101,0,105,4
26-06-2025 08:30,422,341,1,81,0,108,4
26-06-2025 09:30,422,373,1,49,0,114,9
26-06-2025 10:30,422,419,1,3,0,133,16
26-06-2025 11:30,422,417,1,4,0,130,29
26-06-2025 12:30,422,417,1,4,0,140,30
26-06-2025 13:30,422,416,1,5,0,141,28
26-06-2025 14:30,422,384,1,37,0,133,14
26-06-2025 15:30,422,413,1,8,0,146,16
26-06-2025 16:30,422,416,1,5,0,146,25
26-06-2025 17:30,422,416,1,5,0,147,23
26-06-2025 18:30,422,418,0,4,0,146,15
26-06-2025 19:30,422,416,0,6,0,142,13
26-06-2025 20:30,422,417,0,5,0,144,20
26-06-2025 21:30,422,411,0,11,0,141,15
26-06-2025 22:30,422,403,0,19,0,140,13
26-06-2025 23:30,422,413,0,9,0,135,10
27-06-2025 00:30,422,397,0,25,0,131,8
27-06-2025 01:30,422,403,0,19,0,124,6
27-06-2025 02:30,422,380,0,42,0,123,6
27-06-2025 03:30,422,379,0,43,0,122,5
27-06-2025 04:30,422,378,0,44,0,119,5
27-06-2025 05:30,422,378,0,44,0,119,5
27-06-2025 06:30,422,374,0,48,0,117,5
27-06-2025 07:30,422,362,0,60,0,121,5
27-06-2025 08:30,422,344,0,78,0,122,5
27-06-2025 09:30,422,363,0,59,0,123,5
27-06-2025 10:30,422,414,0,8,0,126,20
27-06-2025 11:30,422,415,0,7,0,144,19
27-06-2025 12:30,422,415,0,7,0,133,14
27-06-2025 13:30,422,416,0,6,0,146,21
27-06-2025 14:30,422,415,0,7,0,141,16
27-06-2025 15:30,422,414,0,8,0,145,21
27-06-2025 16:30,422,414,0,8,0,141,34
27-06-2025 17:30,422,414,0,8,0,148,35
27-06-2025 18:30,422,417,0,5,0,156,35
27-06-2025 19:30,422,412,0,10,0,151,28
27-06-2025 20:30,422,410,0,12,0,148,25
27-06-2025 21:30,422,414,0,8,0,144,27
27-06-2025 22:30,422,416,0,6,0,145,26
27-06-2025 23:30,422,413,0,9,0,143,26
28-06-2025 00:30,422,415,0,7,0,142,25
28-06-2025 01:30,422,414,0,8,0,138,23
28-06-2025 02:30,422,408,0,14,0,135,21
28-06-2025 03:30,422,411,0,11,0,132,17
28-06-2025 04:30,422,410,0,12,0,125,12
28-06-2025 05:30,422,414,0,8,0,126,12
28-06-2025 06:30,422,401,0,21,0,122,10
28-06-2025 07:30,422,401,0,21,0,122,10
28-06-2025 08:30,422,376,0,46,0,121,10
28-06-2025 09:30,422,403,0,19,0,133,9
28-06-2025 10:30,422,395,0,27,0,130,7
28-06-2025 11:30,422,380,0,42,0,128,7
28-06-2025 12:30,422,384,0,38,0,134,8
28-06-2025 13:30,422,386,0,36,0,132,6
28-06-2025 14:30,422,395,0,27,0,132,7
28-06-2025 15:30,422,399,0,23,0,134,6
28-06-2025 16:30,422,393,0,29,0,129,10
28-06-2025 17:30,422,388,0,34,0,128,11
28-06-2025 18:30,422,388,0,34,0,125,13
28-06-2025 19:30,422,365,0,57,0,120,11
28-06-2025 20:30,422,357,0,65,0,119,11
28-06-2025 21:30,422,351,0,71,0,113,9
28-06-2025 22:30,422,346,0,76,0,110,8
28-06-2025 23:30,422,338,0,84,0,110,8
29-06-2025 00:30,422,321,0,101,0,106,8
29-06-2025 01:30,422,279,0,143,0,101,5
29-06-2025 02:30,422,274,0,148,0,99,4
29-06-2025 03:30,422,270,0,152,0,98,2
29-06-2025 04:30,422,273,0,149,0,98,1
29-06-2025 05:30,422,273,0,149,0,97,2
29-06-2025 06:30,422,270,0,152,0,94,2
29-06-2025 07:30,422,270,0,152,0,94,1
29-06-2025 08:30,422,251,0,171,0,95,1
29-06-2025 09:30,422,287,0,135,0,99,1
29-06-2025 10:30,422,264,0,158,0,94,0
29-06-2025 11:30,422,267,0,155,0,94,0
29-06-2025 12:30,422,263,0,159,0,90,0
29-06-2025 13:30,422,261,0,161,0,88,0
29-06-2025 14:30,422,265,0,157,0,89,7
29-06-2025 15:30,422,269,0,153,0,89,6
29-06-2025 16:30,422,260,0,162,0,86,5
29-06-2025 17:30,422,272,0,150,0,87,5
29-06-2025 18:30,422,261,0,161,0,80,3
29-06-2025 19:30,422,251,0,171,0,73,3
29-06-2025 20:30,422,254,0,168,0,75,2
29-06-2025 21:30,422,252,0,170,0,72,2
29-06-2025 22:30,422,251,0,171,0,71,1
29-06-2025 23:30,422,242,0,180,0,68,1
30-06-2025 00:30,422,244,0,178,0,69,0
30-06-2025 01:30,422,237,0,185,0,65,0
30-06-2025 02:30,422,232,0,190,0,61,0
30-06-2025 03:30,422,217,0,205,0,56,0
30-06-2025 04:30,422,221,0,201,0,57,0
30-06-2025 05:30,422,221,0,201,0,57,0
30-06-2025 06:30,422,206,0,216,0,53,0
30-06-2025 07:30,422,202,0,220,0,51,0
30-06-2025 08:30,422,207,0,215,0,52,0
30-06-2025 09:30,422,238,0,184,0,57,1
30-06-2025 10:30,422,295,0,127,0,82,5
30-06-2025 11:30,422,314,2,106,0,107,6
30-06-2025 12:30,422,348,2,72,0,121,13
30-06-2025 13:30,422,351,2,69,0,123,9
30-06-2025 14:30,422,375,2,45,0,131,8
30-06-2025 15:30,422,397,2,23,0,135,11
30-06-2025 16:30,422,413,3,7,0,140,17
30-06-2025 17:30,422,415,3,5,0,139,11
30-06-2025 18:30,422,397,3,23,0,138,14
30-06-2025 19:30,422,399,3,21,0,134,29
30-06-2025 20:30,422,370,3,50,0,128,25
30-06-2025 21:30,422,362,3,58,0,124,24
30-06-2025 22:30,422,364,2,57,0,123,21
30-06-2025 23:30,422,366,2,55,0,128,19
01-07-2025 00:30,422,357,2,64,0,122,14
01-07-2025 01:30,422,353,2,68,0,115,12
01-07-2025 02:30,422,340,2,81,0,110,11
01-07-2025 03:30,422,334,2,87,0,107,10
01-07-2025 04:30,422,326,2,95,0,104,10
01-07-2025 05:30,422,326,2,95,0,104,10
01-07-2025 06:30,422,325,2,96,0,102,9
01-07-2025 07:30,422,314,2,107,0,95,9
01-07-2025 08:30,422,331,2,90,0,103,12
01-07-2025 09:30,422,291,2,129,0,99,15
01-07-2025 10:30,422,321,2,99,0,113,19
01-07-2025 11:30,422,337,2,83,0,126,18
01-07-2025 12:30,422,347,2,73,0,135,22
01-07-2025 13:30,422,356,2,64,0,140,21
01-07-2025 14:30,422,355,2,65,0,136,16
01-07-2025 15:30,422,332,2,88,0,143,15
01-07-2025 16:30,422,351,2,69,0,136,17
01-07-2025 17:30,422,378,2,42,0,148,21
01-07-2025 18:30,422,409,0,13,0,153,19
01-07-2025 19:30,422,414,0,8,0,152,17
01-07-2025 20:30,422,412,0,10,0,153,17
01-07-2025 21:30,422,408,0,14,0,148,15
01-07-2025 22:30,422,403,0,19,0,148,11
01-07-2025 23:30,422,398,0,24,0,154,9
02-07-2025 00:30,422,401,0,21,0,152,8
02-07-2025 01:30,422,410,0,12,0,151,7
02-07-2025 02:30,422,409,0,13,0,149,7
02-07-2025 03:30,422,405,0,17,0,148,4
02-07-2025 04:30,422,389,0,33,0,147,1
02-07-2025 05:30,422,411,0,11,0,143,1
02-07-2025 06:30,422,405,0,17,0,139,1
02-07-2025 07:30,422,399,0,23,0,136,1
02-07-2025 08:30,422,379,0,43,0,133,2
02-07-2025 09:30,422,351,0,71,0,130,1
02-07-2025 10:30,422,361,0,61,0,125,10
02-07-2025 11:30,422,342,0,80,0,133,12
02-07-2025 12:30,422,387,0,35,0,141,13
02-07-2025 13:30,422,410,0,12,0,139,8
02-07-2025 14:30,422,367,0,55,0,129,5
02-07-2025 15:30,422,392,0,30,0,137,8
02-07-2025 16:30,422,397,0,25,0,139,17
02-07-2025 17:30,422,387,0,35,0,133,13
02-07-2025 18:30,422,385,0,37,0,130,13
02-07-2025 19:30,422,343,0,79,0,122,11
02-07-2025 20:30,422,346,0,76,0,123,11
02-07-2025 21:30,422,346,0,76,0,121,7
02-07-2025 22:30,422,308,0,114,0,121,7
02-07-2025 23:30,422,296,0,126,0,115,7
03-07-2025 00:30,422,273,0,149,0,110,7
03-07-2025 01:30,422,283,0,139,0,106,7
03-07-2025 02:30,422,268,0,154,0,100,7
03-07-2025 03:30,422,253,0,169,0,94,6
03-07-2025 04:30,422,247,0,175,0,91,6
03-07-2025 05:30,422,243,0,179,0,89,6
03-07-2025 06:30,422,235,0,187,0,85,6
