Date,Prophet,Residuals,Available
04-03-2025 17:00,24.49782832,-74.741035,0
04-03-2025 18:00,24.22775544,-95.828545,0
04-03-2025 19:00,25.23448279,-12.481137,12
04-03-2025 20:00,27.07776465,-25.39262,1
04-03-2025 21:00,29.37830356,-56.30783,0
04-03-2025 22:00,32.44949681,-35.38578,0
04-03-2025 23:00,36.92115984,-83.08183,0
05-03-2025 00:00,42.78254423,-15.806804,26
05-03-2025 01:00,49.00746238,-63.229916,0
05-03-2025 02:00,54.34152697,6.8650084,61
05-03-2025 03:00,58.51881681,-16.783096,41
05-03-2025 04:00,62.54903771,12.623006,75
05-03-2025 05:00,67.53967517,-3.9280488,63
05-03-2025 06:00,73.05152469,6.075367,79
05-03-2025 07:00,76.6724615,-32.19706,44
05-03-2025 08:00,75.5240355,-32.54949,42
05-03-2025 09:00,68.60689871,-0.3243272,68
05-03-2025 10:00,57.96211996,33.568016,91
05-03-2025 11:00,47.5328695,45.310066,92
05-03-2025 12:00,40.5833703,26.447449,67
05-03-2025 13:00,37.7679609,64.73426,102
05-03-2025 14:00,37.31741334,5.8577867,43
05-03-2025 15:00,36.93604063,29.626978,66
05-03-2025 16:00,35.62662819,-15.765924,19
05-03-2025 17:00,33.9835173,81.82946,115
05-03-2025 18:00,33.07087416,25.467146,58
05-03-2025 19:00,33.25009344,72.27484,105
05-03-2025 20:00,34.09942941,12.479739,46
05-03-2025 21:00,35.25936418,122.453156,157
05-03-2025 22:00,37.06408553,122.60428,159
05-03-2025 23:00,40.164935,137.7202,177
06-03-2025 00:00,44.57314765,42.013992,86
06-03-2025 01:00,49.28469904,54.708153,103
06-03-2025 02:00,53.0672708,49.979343,103
06-03-2025 03:00,55.67665015,141.08466,196
06-03-2025 04:00,58.14363486,126.97426,185
06-03-2025 05:00,61.59594384,90.604546,152
06-03-2025 06:00,65.61352177,83.880356,149
06-03-2025 07:00,67.80210244,114.256935,182
06-03-2025 08:00,65.2996188,127.28862,192
06-03-2025 09:00,57.12146908,85.30456,142
06-03-2025 10:00,45.3216955,205.8228,251
06-03-2025 11:00,33.85455963,130.7363,164
06-03-2025 12:00,25.99341213,65.897675,91
06-03-2025 13:00,22.3997024,125.676315,148
06-03-2025 14:00,21.30927197,200.8803,222
06-03-2025 15:00,20.42946597,97.46907,117
06-03-2025 16:00,18.7640966,125.6768,144
06-03-2025 17:00,16.90658579,76.78615,93
06-03-2025 18:00,15.91831947,85.12263,101
06-03-2025 19:00,16.15616073,47.03277,63
06-03-2025 20:00,17.1922132,43.29479,60
06-03-2025 21:00,18.65934191,86.62898,105
06-03-2025 22:00,20.88282182,139.01726,159
06-03-2025 23:00,24.50397194,146.35283,170
07-03-2025 00:00,29.52309385,120.88849,150
07-03-2025 01:00,34.92452681,77.96271,112
07-03-2025 02:00,39.46382829,28.963999,68
07-03-2025 03:00,42.88439155,1.053326,43
