Date,Prophet,Residuals,Hybrid_Available
2025-03-04 00:10:44,99.99085773278632,-1.0318964,98
2025-03-04 01:10:44,100.83488928464216,3.3137364,104
2025-03-04 02:10:45,100.94664152791464,7.7126226,108
2025-03-04 03:10:45,99.49735187809507,12.036641,111
2025-03-04 04:10:46,97.39545591033277,16.169102,113
2025-03-04 05:10:46,96.45670606752151,19.937115,116
2025-03-04 06:10:47,97.35881838166213,23.077387,120
2025-03-04 07:10:47,98.36572684029909,25.248964,123
2025-03-04 08:10:48,96.25705126262905,26.077282,122
2025-03-04 09:10:48,88.87071123609604,25.224695,114
2025-03-04 10:10:48,77.05047795483974,22.502138,99
2025-03-04 11:10:49,64.21609931088962,18.034243,82
2025-03-04 12:10:49,53.892018017098785,12.3885975,66
2025-03-04 13:10:50,47.28773500835308,6.4504886,53
2025-03-04 14:10:50,43.01040193113364,1.0236372,44
2025-03-04 15:10:51,38.8667009637777,-3.4842148,35
2025-03-04 16:10:51,33.98115277453984,-7.049131,26
2025-03-04 17:10:52,29.286432816640634,-9.839016,19
2025-03-04 18:10:52,26.234695915096843,-12.053203,14
2025-03-04 19:10:53,25.215563928019968,-13.850649,11
2025-03-04 20:10:53,25.31788857458524,-15.334209,9
2025-03-04 21:10:54,25.49708786362936,-16.55616,8
2025-03-04 22:10:54,25.76344324498452,-17.528494,8
2025-03-04 23:10:54,27.05340387696704,-18.23224,8
2025-03-05 00:10:55,29.943505840543878,-18.624262,11
2025-03-05 01:10:55,33.66663038746493,-18.641832,15
2025-03-05 02:10:56,36.6312187703402,-18.207544,18
2025-03-05 03:10:56,38.00162158935282,-17.238653,20
2025-03-05 04:10:57,38.68391831285473,-15.662973,23
2025-03-05 05:10:57,40.48413840069261,-13.438868,27
2025-03-05 06:10:58,44.06812498554283,-10.5706005,33
2025-03-05 07:10:58,47.6850537345218,-7.1136546,40
2025-03-05 08:10:59,48.10980128453539,-3.1775234,44
2025-03-05 09:10:59,43.18166677803577,1.076665,44
2025-03-05 10:10:59,33.75152477822311,5.4673038,39
2025-03-05 11:11:00,23.241688838511745,9.8433275,33
2025-03-05 12:11:00,15.16920517537845,14.09033,29
2025-03-05 13:11:01,10.734634386031077,18.071594,28
2025-03-05 14:11:01,8.537243142295992,21.571077,30
2025-03-05 15:11:02,6.385918009918974,24.283638,30
2025-03-05 16:11:02,3.4102339780277227,25.844826,29
2025-03-05 17:11:03,0.5488549880648925,25.887358,26
2025-03-05 18:11:03,-0.7471651309958638,24.128754,23
2025-03-05 19:11:04,-0.0902779111608698,20.510775,20
2025-03-05 20:11:04,1.6065366370352683,15.369071,16
2025-03-05 21:11:04,3.302972895962228,9.4642515,12
2025-03-05 22:11:05,5.0158184449358245,3.696664,8
2025-03-05 23:11:05,7.684108560864897,-1.3042103,6
2025-03-06 00:11:06,11.884453989318086,-5.337223,6
2025-03-06 01:11:06,16.84741236616565,-8.497536,8
2025-03-06 02:11:07,20.984465745659534,-10.982663,10
2025-03-06 03:11:07,23.466558530851312,-12.97666,10
2025-03-06 04:11:08,25.208073467328816,-14.611113,10
2025-03-06 05:11:08,28.016914022530187,-15.96294,12
2025-03-06 06:11:09,32.55577478630469,-17.063433,15
2025-03-06 07:11:09,37.068774440361,-17.90841,19
2025-03-06 08:11:09,38.33326831277525,-18.466417,19
2025-03-06 09:11:10,34.196677890963336,-18.684208,15
2025-03-06 10:11:10,25.523557607226678,-18.491093,7
2025-03-06 11:11:11,15.743091745757981,-17.805502,0
2025-03-06 12:11:11,8.370121848080432,-16.547462,0
