Date,LSTM,TCN,Available
05-03-2025 01:00,124.57311,61.762882,93
05-03-2025 02:00,125.352036,81.43998,103
05-03-2025 03:00,139.16481,145.30278,142
05-03-2025 04:00,113.95852,182.31454,148
05-03-2025 05:00,122.64476,192.49812,157
05-03-2025 06:00,126.10281,149.0892,137
05-03-2025 07:00,130.086,135.48415,132
05-03-2025 08:00,133.3095,121.63511,127
05-03-2025 09:00,88.9773,151.0015,119
05-03-2025 10:00,104.28092,97.96477,101
05-03-2025 11:00,118.01923,103.645935,110
05-03-2025 12:00,130.67168,175.82106,153
05-03-2025 13:00,115.75399,103.6147,109
05-03-2025 14:00,86.16734,177.99687,132
05-03-2025 15:00,133.99586,89.57628,111
05-03-2025 16:00,96.53456,75.56629,86
05-03-2025 17:00,121.180176,107.05019,114
05-03-2025 18:00,101.39276,109.43517,105
05-03-2025 19:00,126.06663,99.395706,112
05-03-2025 20:00,128.75389,137.80266,133
05-03-2025 21:00,117.6913,103.49514,110
05-03-2025 22:00,121.94468,108.52578,115
05-03-2025 23:00,85.305626,168.41602,126
06-03-2025 00:00,117.3428,162.23843,139
06-03-2025 01:00,110.329185,106.736885,108
06-03-2025 02:00,128.5562,118.58797,123
06-03-2025 03:00,122.015686,116.280945,119
06-03-2025 04:00,129.75325,124.10522,126
06-03-2025 05:00,76.6283,102.44828,89
06-03-2025 06:00,114.97475,158.48245,136
06-03-2025 07:00,114.9788,118.360954,116
06-03-2025 08:00,124.063065,99.53032,111
06-03-2025 09:00,132.02675,154.58134,143
06-03-2025 10:00,100.78656,119.65233,110
06-03-2025 11:00,117.74549,87.86729,102
06-03-2025 12:00,112.79671,153.74426,133
06-03-2025 13:00,122.03694,105.98422,114
06-03-2025 14:00,123.20515,178.44724,150
06-03-2025 15:00,114.86463,104.635864,109
06-03-2025 16:00,99.02419,129.21164,114
06-03-2025 17:00,85.46664,67.8597,76
06-03-2025 18:00,109.657845,51.84975,80
06-03-2025 19:00,103.402954,153.43646,128
06-03-2025 20:00,118.10745,136.27544,127
06-03-2025 21:00,108.88648,102.636955,105
06-03-2025 22:00,120.48442,153.77298,137
06-03-2025 23:00,125.63354,82.36669,104
07-03-2025 00:00,109.86109,178.35094,144
07-03-2025 01:00,130.42966,68.80347,99
07-03-2025 02:00,118.024635,100.922585,109
07-03-2025 03:00,120.34138,70.42035,95
07-03-2025 04:00,138.05998,107.447876,122
07-03-2025 05:00,122.23379,136.29237,129
07-03-2025 06:00,135.8872,116.426384,126
07-03-2025 07:00,113.135475,99.72533,106
07-03-2025 08:00,116.61966,123.86373,120
07-03-2025 09:00,116.56759,71.254585,93
07-03-2025 10:00,73.32376,74.953674,74
07-03-2025 11:00,122.68328,121.898125,122
07-03-2025 12:00,124.7326,192.6832,158
07-03-2025 13:00,113.54463,111.81294,112
07-03-2025 14:00,117.99158,75.83628,96
