Date,Prophet,Residuals,Hybrid_Available
2025-03-04 01:10:01,158.18674108472015,4.19504,162
2025-03-04 02:10:01,161.39305529985484,4.19504,165
2025-03-04 03:10:01,163.38789410157233,4.19504,167
2025-03-04 04:10:01,164.85453917338367,3.6948402,168
2025-03-04 05:10:01,167.24683674589858,3.6948402,170
2025-03-04 06:10:01,170.9666322966865,3.6948402,174
2025-03-04 07:10:01,174.19672983426932,3.6948402,177
2025-03-04 08:10:01,173.7746322550907,4.8657537,178
2025-03-04 09:10:01,167.64002949804387,3.3113334,170
2025-03-04 10:10:01,156.79881919302352,0.9282967,157
2025-03-04 11:10:01,144.99565368486805,-3.6857781,141
2025-03-04 12:10:01,136.23802279131633,-6.114929,130
2025-03-04 13:10:01,132.1936958688495,-6.114929,126
2025-03-04 14:10:01,131.55530119539418,-21.709976,109
2025-03-04 15:10:01,131.68905433550935,-27.281084,104
2025-03-04 16:10:01,130.93450879360432,-28.640009,102
2025-03-04 17:10:01,129.57241302564097,-28.640009,100
2025-03-04 18:10:01,128.92484479483142,-28.565395,100
2025-03-04 19:10:01,129.80225829166113,-28.565395,101
2025-03-04 20:10:01,131.89772345006878,-28.565395,103
2025-03-04 21:10:01,134.52335269939692,-31.305984,103
2025-03-04 22:10:01,137.63609130472997,-33.80599,103
2025-03-04 23:10:01,141.90312430679148,-33.80599,108
2025-03-05 00:10:01,147.73443015122626,0.7743731,148
2025-03-05 01:10:01,154.44031711341012,0.7743731,155
2025-03-05 02:10:01,160.60000096982782,0.7743731,161
2025-03-05 03:10:01,165.39550572560125,0.7743731,166
2025-03-05 04:10:01,169.4879313050401,0.27417344,169
2025-03-05 05:10:01,174.31137470569905,0.27417344,174
2025-03-05 06:10:01,180.25052810928264,0.27417344,180
2025-03-05 07:10:01,185.47376978434,0.27417344,185
2025-03-05 08:10:01,186.80700309313113,1.4450876,188
2025-03-05 09:10:01,182.18120955545913,-0.10933294,182
2025-03-05 10:10:01,172.5965002994738,-2.4923718,170
2025-03-05 11:10:01,161.7946598423032,-4.4703584,157
2025-03-05 12:10:01,153.78319200948658,-6.8995132,146
2025-03-05 13:10:01,150.23269243416303,-6.980565,143
2025-03-05 14:10:01,149.8413269156104,-9.3164,140
2025-03-05 15:10:01,149.98342889305394,-14.758292,135
2025-03-05 16:10:01,149.0090913615058,-12.469329,136
2025-03-05 17:10:01,147.2118395489075,-11.299109,135
2025-03-05 18:10:01,145.9285579768104,-11.224498,134
2025-03-05 19:10:01,145.98631013160298,-11.224498,134
2025-03-05 20:10:01,147.09633326874172,-11.224498,135
2025-03-05 21:10:01,148.59020684152438,-13.749269,134
